 2016-12-07 11:12:48,022 [P19704/D2/T55] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:48,027 [P19704/D2/T61] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:48,029 [P19704/D2/T55] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:48,032 [P19704/D2/T57] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:48,038 [P19704/D2/T61] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:50,353 [P19704/D2/T62] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:50,353 [P19704/D2/T56] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:50,353 [P19704/D2/T58] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:50,354 [P19704/D2/T55] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:50,366 [P19704/D2/T63] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:50,928 [P19704/D2/T59] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:50,950 [P19704/D2/T58] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:50,950 [P19704/D2/T62] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:50,950 [P19704/D2/T80] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:50,959 [P19704/D2/T59] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:12:50,966 [P19704/D2/T70] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field values
 2016-12-07 11:17:17,215 [P19704/D2/T80] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'AdultConfirm' with Id '0' has been published.
 2016-12-07 11:17:21,553 [P19704/D2/T20] INFO  umbraco.content - Save Xml to file...
 2016-12-07 11:17:21,565 [P19704/D2/T20] INFO  umbraco.content - Saved Xml to file.
 2016-12-07 11:18:21,478 [P19704/D2/T55] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'AdultDetail' with Id '0' has been published.
 2016-12-07 11:18:25,604 [P19704/D2/T20] INFO  umbraco.content - Save Xml to file...
 2016-12-07 11:18:25,630 [P19704/D2/T20] INFO  umbraco.content - Saved Xml to file.
